A,B,input_time,output_time,delay,delay_si_format
14,4,4.570099999997892e-06,4.590199999997936e-06,2.0100000000044073e-08,20.1 n
14,5,4.590099999997936e-06,4.61019999999798e-06,2.0100000000044073e-08,20.1 n
14,6,4.61009999999798e-06,4.630199999998024e-06,2.0100000000044073e-08,20.1 n
14,7,4.630099999998024e-06,4.650199999998068e-06,2.0100000000044073e-08,20.1 n
14,8,4.650099999998068e-06,4.670199999998112e-06,2.0100000000044073e-08,20.1 n
14,9,4.670099999998112e-06,4.690199999998156e-06,2.0100000000043226e-08,20.1 n
14,10,4.690099999998155e-06,4.710199999998199e-06,2.0100000000043226e-08,20.1 n
14,11,4.710099999998199e-06,4.730199999998243e-06,2.0100000000044073e-08,20.1 n
14,12,4.730099999998243e-06,4.750199999998287e-06,2.0100000000044073e-08,20.1 n
14,13,4.750099999998287e-06,4.770199999998331e-06,2.0100000000044073e-08,20.1 n
14,14,4.770099999998331e-06,4.790199999998375e-06,2.0100000000044073e-08,20.1 n
14,15,4.790099999998375e-06,4.810199999998419e-06,2.0100000000044073e-08,20.1 n
15,0,4.810099999998418e-06,4.830199999998463e-06,2.0100000000045768e-08,20.1 n
15,1,4.830099999998462e-06,4.850199999998506e-06,2.0100000000043226e-08,20.1 n
15,2,4.850099999998506e-06,4.87019999999855e-06,2.0100000000044073e-08,20.1 n
15,3,4.87009999999855e-06,4.890199999998594e-06,2.0100000000044073e-08,20.1 n
15,4,4.890099999998594e-06,4.910199999998638e-06,2.0100000000044073e-08,20.1 n
15,5,4.910099999998638e-06,4.930199999998682e-06,2.0100000000044073e-08,20.1 n
15,6,4.930099999998682e-06,4.950199999998726e-06,2.0100000000044073e-08,20.1 n
15,7,4.950099999998725e-06,4.97019999999877e-06,2.0100000000045768e-08,20.1 n
15,8,4.970099999998769e-06,4.990199999998813e-06,2.0100000000044073e-08,20.1 n
15,9,4.990099999998813e-06,5.010199999998857e-06,2.0100000000044073e-08,20.1 n
15,10,5.010099999998857e-06,5.030199999998901e-06,2.0100000000044073e-08,20.1 n
15,11,5.030099999998901e-06,5.050199999998945e-06,2.0100000000044073e-08,20.1 n
15,12,5.050099999998945e-06,5.070199999998989e-06,2.0100000000044073e-08,20.1 n
15,13,5.070099999998989e-06,5.090199999999033e-06,2.0100000000044073e-08,20.1 n
15,14,5.090099999999032e-06,5.110199999999077e-06,2.0100000000045768e-08,20.1 n
15,15,5.110099999999076e-06,5.13019999999912e-06,2.0100000000044073e-08,20.1 n
